player_season_team;season;rank;mvp_votes_share;mvp_candidate;mvp_podium;mvp_winner
GiannisAntetokounmpo_2021_MIL;2021;4;0.345;True;True;False
StephenCurry_2021_GSW;2021;3;0.449;True;True;False
LukaDončić_2021_DAL;2021;6;0.042;True;False;False
JoelEmbiid_2021_PHI;2021;2;0.58;True;True;False
RudyGobert_2021_UTA;2021;10;0.008;True;False;False
JamesHarden_2021_HOU;2021;13;0.001;True;False;False
JamesHarden_2021_BRK;2021;13;0.001;True;False;False
LeBronJames_2021_LAL;2021;14;0.001;True;False;False
NikolaJokić_2021_DEN;2021;1;0.961;True;True;True
KawhiLeonard_2021_LAC;2021;15;0.001;True;False;False
DamianLillard_2021_POR;2021;7;0.038;True;False;False
ChrisPaul_2021_PHO;2021;5;0.138;True;False;False
JuliusRandle_2021_NYK;2021;8;0.02;True;False;False
DerrickRose_2021_DET;2021;9;0.01;True;False;False
DerrickRose_2021_NYK;2021;9;0.01;True;False;False
BenSimmons_2021_PHI;2021;12;0.003;True;False;False
RussellWestbrook_2021_WAS;2021;11;0.005;True;False;False
